Season,Giornata,Team,Player,A,AG,AM,ES,FV,G,In,Out,R,RS,Role,V
2014.0,1.0,atalanta,Sportiello M.,,,,,7.0,,0.0,0.0,,,P,7.0
2014.0,1.0,atalanta,Benalouane Y.,,,,,6.0,,0.0,0.0,,,D,6.0
2014.0,1.0,atalanta,Biava G.,,,,,6.0,,0.0,0.0,,,D,6.0
2014.0,1.0,atalanta,Drame' B.,,,1.0,,5.0,,0.0,0.0,,,D,5.5
2014.0,1.0,atalanta,Zappacosta D.,,,,,6.0,,0.0,0.0,,,D,6.0
2014.0,1.0,atalanta,Carmona C.,,,,,6.0,,0.0,0.0,,,C,6.0
2014.0,1.0,atalanta,Cigarini L.,,,,,6.0,,0.0,0.0,,,C,6.0
2014.0,1.0,atalanta,Moralez M.,,,,,5.5,,1.0,0.0,,,C,5.5
2014.0,1.0,atalanta,Estigarribia M.,,,,,6.5,,1.0,0.0,,,C,6.5
2014.0,1.0,atalanta,Denis G.,,,,,5.5,,1.0,0.0,,,A,5.5
2014.0,1.0,atalanta,Spinazzola L.,,,,,,,0.0,1.0,,,C,
2014.0,1.0,atalanta,Boakye R.,,,1.0,,4.5,,0.0,1.0,,,A,5.0
2014.0,1.0,atalanta,Bianchi R.,,,,,6.0,,0.0,1.0,,,A,6.0
2014.0,1.0,cagliari,Colombi S.,,,,,5.5,-1.0,0.0,0.0,,,P,6.5
2014.0,1.0,cagliari,Pisano F.,,,,,5.0,,1.0,0.0,,,D,5.0
2014.0,1.0,cagliari,Avelar D.,,,,,6.5,,1.0,0.0,,,D,6.5
2014.0,1.0,cagliari,Ceppitelli L.,,,,,6.0,,0.0,0.0,,,D,6.0
2014.0,1.0,cagliari,Rossettini L.,,,,,6.0,,0.0,0.0,,,D,6.0
2014.0,1.0,cagliari,Crisetig L.,,,,,6.5,,0.0,0.0,,,C,6.5
2014.0,1.0,cagliari,Conti D.,,,1.0,,6.5,,0.0,0.0,,,C,7.0
2014.0,1.0,cagliari,Cossu A.,,,,,5.5,,0.0,0.0,,,C,5.5
2014.0,1.0,cagliari,Ekdal A.,,,,,6.0,,0.0,0.0,,,C,6.0
2014.0,1.0,cagliari,Farias D.,,,,,5.5,,0.0,0.0,,,A,5.5
2014.0,1.0,cagliari,Sau M.,,,,,9.5,1.0,1.0,0.0,,,A,6.5
2014.0,1.0,cagliari,Balzano A.,1.0,,1.0,,7.0,,0.0,1.0,,,D,6.5
2014.0,1.0,cagliari,Murru N.,,,,,,,0.0,1.0,,,D,
2014.0,1.0,cagliari,Longo S.,,,,,6.0,,0.0,1.0,,,A,6.0
2014.0,1.0,cesena,Leali N.,,,,,6.5,,0.0,0.0,,,P,6.5
2014.0,1.0,cesena,Renzetti F.,,,,,6.5,,0.0,0.0,,,D,6.5
2014.0,1.0,cesena,Capelli D.,,,,,6.0,,1.0,0.0,,,D,6.0
2014.0,1.0,cesena,Lucchini S.,,,1.0,,6.0,,0.0,0.0,,,D,6.5
2014.0,1.0,cesena,Volta M.,,,,,6.5,,0.0,0.0,,,D,6.5
2014.0,1.0,cesena,Coppola M.,,,,,6.0,,0.0,0.0,,,C,6.0
2014.0,1.0,cesena,Brienza F.,1.0,,,,8.0,,1.0,0.0,,,C,7.0
2014.0,1.0,cesena,Cascione E.,,,,,7.0,,0.0,0.0,,,C,7.0
2014.0,1.0,cesena,De Feudis G.,,,,,6.0,,0.0,0.0,,,C,6.0
2014.0,1.0,cesena,Rodriguez A.,,,1.0,,9.5,1.0,1.0,0.0,,,A,7.0
2014.0,1.0,cesena,Marilungo G.,,,,,6.5,,0.0,0.0,,,A,6.5
2014.0,1.0,cesena,Krajnc L.,,,,,,,0.0,1.0,,,D,
2014.0,1.0,cesena,Perico G.,,,,,,,0.0,1.0,,,D,
2014.0,1.0,cesena,Garritano L.,,,,,6.0,,0.0,1.0,,,A,6.0
2014.0,1.0,chievo,Bardi F.,,,,,4.0,-1.0,0.0,0.0,,,P,5.0
2014.0,1.0,chievo,Dainelli D.,,,1.0,,5.0,,0.0,0.0,,,D,5.5
2014.0,1.0,chievo,Biraghi C.,,1.0,,,3.0,,0.0,0.0,,,D,5.0
2014.0,1.0,chievo,Cesar B.,,,,,5.5,,0.0,0.0,,,D,5.5
2014.0,1.0,chievo,Frey N.,,,,,5.5,,0.0,0.0,,,D,5.5
2014.0,1.0,chievo,Mangani T.,,,1.0,,4.5,,1.0,0.0,,,C,5.0
2014.0,1.0,chievo,Hetemaj P.,,,,,6.0,,0.0,0.0,,,C,6.0
2014.0,1.0,chievo,Schelotto E.,,,,,5.0,,1.0,0.0,,,C,5.0
2014.0,1.0,chievo,Izco M.,,,,,5.0,,0.0,0.0,,,C,5.0
2014.0,1.0,chievo,Birsa V.,,,,,5.5,,0.0,0.0,,,C,5.5
2014.0,1.0,chievo,Maxi Lopez ,,,,,5.5,,0.0,0.0,,,A,5.5
2014.0,1.0,chievo,Radovanovic I.,,,,,5.5,,0.0,1.0,,,C,5.5
2014.0,1.0,chievo,Cofie I.,,,,,6.0,,0.0,1.0,,,C,6.0
2014.0,1.0,chievo,Paloschi A.,,,,,5.5,,0.0,1.0,,,A,5.5
2014.0,1.0,empoli,Sepe L.,,,,,4.0,-2.0,0.0,0.0,,,P,6.0
2014.0,1.0,empoli,Hysaj E.,,,,,6.0,,1.0,0.0,,,D,6.0
