CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Squadra
MILLI,P,Por,1,1,//www.fantacalcio.it/squadre/Lecce/MILLI/4469,lecce
GABRIEL,P,Por,6,6,//www.fantacalcio.it/squadre/Lecce/GABRIEL/385,lecce
BLEVE,P,Por,1,1,//www.fantacalcio.it/squadre/Lecce/BLEVE/4468,lecce
GALLO,D,,1,1,//www.fantacalcio.it/squadre/Lecce/GALLO/4502,lecce
ROSSETTINI,D,,5,5,//www.fantacalcio.it/squadre/Lecce/ROSSETTINI/54,lecce
FIAMOZZI,D,,2,2,//www.fantacalcio.it/squadre/Lecce/FIAMOZZI/805,lecce
RICCARDI D,D,Dc,1,1,//www.fantacalcio.it/squadre/Lecce/RICCARDI-D/4473,lecce
CALDERONI,D,,6,6,//www.fantacalcio.it/squadre/Lecce/CALDERONI/4470,lecce
MECCARIELLO,D,Dc,4,4,//www.fantacalcio.it/squadre/Lecce/MECCARIELLO/4472,lecce
RISPOLI,D,,5,5,//www.fantacalcio.it/squadre/Lecce/RISPOLI/423,lecce
BENZAR,D,,6,6,//www.fantacalcio.it/squadre/Lecce/BENZAR/4398,lecce
LUCIONI,D,Dc,5,5,//www.fantacalcio.it/squadre/Lecce/LUCIONI/2241,lecce
VERA,D,,2,2,//www.fantacalcio.it/squadre/Lecce/VERA/4399,lecce
DELL'ORCO,D,,4,4,//www.fantacalcio.it/squadre/Lecce/DELLORCO/517,lecce
MANCOSU,C,T,8,8,//www.fantacalcio.it/squadre/Lecce/MANCOSU/65,lecce
TACHTSIDIS,C,M,5,5,//www.fantacalcio.it/squadre/Lecce/TACHTSIDIS/241,lecce
MAJER,C,,5,5,//www.fantacalcio.it/squadre/Lecce/MAJER/4475,lecce
TABANELLI,C,,3,3,//www.fantacalcio.it/squadre/Lecce/TABANELLI/4476,lecce
HAYE,C,,3,3,//www.fantacalcio.it/squadre/Lecce/HAYE/4474,lecce
SHAKHOV,C,,5,5,//www.fantacalcio.it/squadre/Lecce/SHAKHOV/4400,lecce
PETRICCIONE,C,C,6,6,//www.fantacalcio.it/squadre/Lecce/PETRICCIONE/179,lecce
FARIAS,A,A,11,11,//www.fantacalcio.it/squadre/Lecce/FARIAS/1879,lecce
LO FASO,A,,2,2,//www.fantacalcio.it/squadre/Lecce/LO-FASO/2048,lecce
LAPADULA,A,Pc,14,14,//www.fantacalcio.it/squadre/Lecce/LAPADULA/1939,lecce
LA MANTIA,A,Pc,9,9,//www.fantacalcio.it/squadre/Lecce/LA-MANTIA/4477,lecce
FALCO,A,A,5,5,//www.fantacalcio.it/squadre/Lecce/FALCO/658,lecce
DONNARUMMA AN,P,Por,1,1,//www.fantacalcio.it/squadre/Milan/DONNARUMMA-AN/216,Milan
REINA,P,Por,1,1,//www.fantacalcio.it/squadre/Milan/REINA/387,Milan
DONNARUMMA G,P,Por,15,15,//www.fantacalcio.it/squadre/Milan/DONNARUMMA-G/350,Milan
CALDARA,D,Dc,4,4,//www.fantacalcio.it/squadre/Milan/CALDARA/1847,Milan
MUSACCHIO,D,Dc,7,7,//www.fantacalcio.it/squadre/Milan/MUSACCHIO/2168,Milan
CALABRIA,D,,9,9,//www.fantacalcio.it/squadre/Milan/CALABRIA/357,Milan
HERNANDEZ T,D,,8,8,//www.fantacalcio.it/squadre/Milan/HERNANDEZ-T/4292,Milan
STRINIC,D,,2,2,//www.fantacalcio.it/squadre/Milan/STRINIC/395,Milan
GABBIA,D,Dc,1,1,//www.fantacalcio.it/squadre/Milan/GABBIA/4401,Milan
ROMAGNOLI A,D,Dc,14,14,//www.fantacalcio.it/squadre/Milan/ROMAGNOLI-A/460,Milan
DUARTE,D,Dc,9,9,//www.fantacalcio.it/squadre/Milan/DUARTE/4511,Milan
CONTI,D,,5,5,//www.fantacalcio.it/squadre/Milan/CONTI/11,Milan
RODRIGUEZ R,D,,8,8,//www.fantacalcio.it/squadre/Milan/RODRIGUEZ-R/2169,Milan
BENNACER,C,,10,10,//www.fantacalcio.it/squadre/Milan/BENNACER/2818,Milan
CALHANOGLU,C,T,13,13,//www.fantacalcio.it/squadre/Milan/CALHANOGLU/2194,Milan
LAXALT,C,E,5,5,//www.fantacalcio.it/squadre/Milan/LAXALT/235,Milan
BORINI,C,W,5,5,//www.fantacalcio.it/squadre/Milan/BORINI/2187,Milan
KRUNIC,C,,13,13,//www.fantacalcio.it/squadre/Milan/KRUNIC/148,Milan
BONAVENTURA,C,,16,16,//www.fantacalcio.it/squadre/Milan/BONAVENTURA/367,Milan
KESSIE',C,C,13,13,//www.fantacalcio.it/squadre/Milan/KESSIE/1850,Milan
SUSO,C,,19,19,//www.fantacalcio.it/squadre/Milan/SUSO/375,Milan
BIGLIA,C,,8,8,//www.fantacalcio.it/squadre/Milan/BIGLIA/331,Milan
CASTILLEJO,C,,10,10,//www.fantacalcio.it/squadre/Milan/CASTILLEJO/2692,Milan
PAQUETA',C,T,15,15,//www.fantacalcio.it/squadre/Milan/PAQUETA/4322,Milan
PIATEK,A,Pc,38,38,//www.fantacalcio.it/squadre/Milan/PIATEK/2756,Milan
ANDRE' SILVA,A,Pc,15,15,//www.fantacalcio.it/squadre/Milan/ANDRE-SILVA/2175,Milan
RAFAEL LEAO,A,Pc,22,22,//www.fantacalcio.it/squadre/Milan/RAFAEL-LEAO/4510,Milan
KARNEZIS,P,Por,1,1,//www.fantacalcio.it/squadre/Napoli/KARNEZIS/570,Napoli
OSPINA,P,Por,3,3,//www.fantacalcio.it/squadre/Napoli/OSPINA/2468,Napoli
MERET,P,Por,15,15,//www.fantacalcio.it/squadre/Napoli/MERET/572,Napoli
DI LORENZO,D,,11,11,//www.fantacalcio.it/squadre/Napoli/DI-LORENZO/2816,Napoli
LUPERTO,D,,3,3,//www.fantacalcio.it/squadre/Napoli/LUPERTO/393,Napoli
MARIO RUI,D,,5,5,//www.fantacalcio.it/squadre/Napoli/MARIO-RUI/142,Napoli
CHIRICHES,D,Dc,4,4,//www.fantacalcio.it/squadre/Napoli/CHIRICHES/640,Napoli
KOULIBALY,D,Dc,16,16,//www.fantacalcio.it/squadre/Napoli/KOULIBALY/392,Napoli
MANOLAS,D,Dc,13,13,//www.fantacalcio.it/squadre/Napoli/MANOLAS/459,Napoli
HYSAJ,D,,7,7,//www.fantacalcio.it/squadre/Napoli/HYSAJ/140,Napoli
MALCUIT,D,,8,8,//www.fantacalcio.it/squadre/Napoli/MALCUIT/2860,Napoli
GHOULAM,D,,12,12,//www.fantacalcio.it/squadre/Napoli/GHOULAM/390,Napoli
MAKSIMOVIC,D,,5,5,//www.fantacalcio.it/squadre/Napoli/MAKSIMOVIC/550,Napoli
TONELLI,D,Dc,5,5,//www.fantacalcio.it/squadre/Napoli/TONELLI/144,Napoli
VERDI,C,,17,17,//www.fantacalcio.it/squadre/Napoli/VERDI/376,Napoli
CICIRETTI,C,,1,1,//www.fantacalcio.it/squadre/Napoli/CICIRETTI/2243,Napoli
RUIZ,C,,17,17,//www.fantacalcio.it/squadre/Napoli/RUIZ/2775,Napoli
CALLEJON,C,W,18,18,//www.fantacalcio.it/squadre/Napoli/CALLEJON/406,Napoli
ZIELINSKI,C,,17,17,//www.fantacalcio.it/squadre/Napoli/ZIELINSKI/152,Napoli
ALLAN,C,,14,14,//www.fantacalcio.it/squadre/Napoli/ALLAN/397,Napoli
GAETANO,C,T,1,1,//www.fantacalcio.it/squadre/Napoli/GAETANO/4364,Napoli
YOUNES,C,,8,8,//www.fantacalcio.it/squadre/Napoli/YOUNES/2776,Napoli
ELMAS,C,,7,7,//www.fantacalcio.it/squadre/Napoli/ELMAS/4479,Napoli
MERTENS,A,Pc,28,28,//www.fantacalcio.it/squadre/Napoli/MERTENS/410,Napoli
INSIGNE,A,A,27,27,//www.fantacalcio.it/squadre/Napoli/INSIGNE/409,Napoli
OUNAS,A,A,8,8,//www.fantacalcio.it/squadre/Napoli/OUNAS/2195,Napoli
MILIK,A,Pc,28,28,//www.fantacalcio.it/squadre/Napoli/MILIK/2012,Napoli
COLOMBI,P,Por,1,1,//www.fantacalcio.it/squadre/Parma/COLOMBI/412,Parma
ALASTRA,P,Por,1,1,//www.fantacalcio.it/squadre/Parma/ALASTRA/654,Parma
SEPE,P,Por,8,8,//www.fantacalcio.it/squadre/Parma/SEPE/159,Parma
GAGLIOLO,D,,7,7,//www.fantacalcio.it/squadre/Parma/GAGLIOLO/73,Parma
MINELLI,D,Dc,1,1,//www.fantacalcio.it/squadre/Parma/MINELLI/4480,Parma
DERMAKU,D,Dc,4,4,//www.fantacalcio.it/squadre/Parma/DERMAKU/139,Parma
LAURINI,D,,7,7,//www.fantacalcio.it/squadre/Parma/LAURINI/141,Parma
BRUNO ALVES,D,Dc,9,9,//www.fantacalcio.it/squadre/Parma/BRUNO-ALVES/1864,Parma
IACOPONI,D,,4,4,//www.fantacalcio.it/squadre/Parma/IACOPONI/2801,Parma
GAZZOLA,D,,2,2,//www.fantacalcio.it/squadre/Parma/GAZZOLA/519,Parma
KUCKA,C,,12,12,//www.fantacalcio.it/squadre/Parma/KUCKA/234,Parma
SCOZZARELLA,C,,4,4,//www.fantacalcio.it/squadre/Parma/SCOZZARELLA/2804,Parma
HERNANI,C,,6,6,//www.fantacalcio.it/squadre/Parma/HERNANI/4423,Parma
RIGONI L,C,C,3,3,//www.fantacalcio.it/squadre/Parma/RIGONI-L/438,Parma
BRUGMAN,C,,5,5,//www.fantacalcio.it/squadre/Parma/BRUGMAN/430,Parma
GRASSI,C,C,8,8,//www.fantacalcio.it/squadre/Parma/GRASSI/27,Parma
MACHIN,C,C,1,1,//www.fantacalcio.it/squadre/Parma/MACHIN/666,Parma
BARILLA',C,C,8,8,//www.fantacalcio.it/squadre/Parma/BARILLA/2802,Parma
KULUSEVSKI,C,,4,4,//www.fantacalcio.it/squadre/Parma/KULUSEVSKI/2833,Parma
CORNELIUS,A,Pc,9,9,//www.fantacalcio.it/squadre/Parma/CORNELIUS/2163,Parma
SILIGARDI,A,W,8,8,//www.fantacalcio.it/squadre/Parma/SILIGARDI/637,Parma
CERAVOLO,A,Pc,3,3,//www.fantacalcio.it/squadre/Parma/CERAVOLO/2246,Parma
KARAMOH,A,A,12,12,//www.fantacalcio.it/squadre/Parma/KARAMOH/2325,Parma
BARAYE,A,A,1,1,//www.fantacalcio.it/squadre/Parma/BARAYE/2805,Parma
INGLESE,A,Pc,23,23,//www.fantacalcio.it/squadre/Parma/INGLESE/123,Parma
ADORANTE,A,Pc,1,1,//www.fantacalcio.it/squadre/Parma/ADORANTE/4387,Parma
GERVINHO,A,A,19,19,//www.fantacalcio.it/squadre/Parma/GERVINHO/474,Parma
SPROCATI,A,,6,6,//www.fantacalcio.it/squadre/Parma/SPROCATI/2773,Parma
FUZATO,P,Por,1,1,//www.fantacalcio.it/squadre/Roma/FUZATO/2781,Roma
PAU LOPEZ,P,Por,14,14,//www.fantacalcio.it/squadre/Roma/PAU-LOPEZ/4419,Roma
OLSEN,P,Por,1,1,//www.fantacalcio.it/squadre/Roma/OLSEN/2836,Roma
MIRANTE,P,Por,1,1,//www.fantacalcio.it/squadre/Roma/MIRANTE/41,Roma
BIANDA,D,Dc,1,1,//www.fantacalcio.it/squadre/Roma/BIANDA/2783,Roma
JUAN JESUS,D,,5,5,//www.fantacalcio.it/squadre/Roma/JUAN-JESUS/256,Roma
SPINAZZOLA,D,,7,7,//www.fantacalcio.it/squadre/Roma/SPINAZZOLA/1852,Roma
FLORENZI,D,,10,10,//www.fantacalcio.it/squadre/Roma/FLORENZI/464,Roma
SANTON,D,,3,3,//www.fantacalcio.it/squadre/Roma/SANTON/262,Roma
ZAPPACOSTA,D,,9,9,//www.fantacalcio.it/squadre/Roma/ZAPPACOSTA/554,Roma
FAZIO,D,Dc,9,9,//www.fantacalcio.it/squadre/Roma/FAZIO/2016,Roma
MANCINI G,D,Dc,14,14,//www.fantacalcio.it/squadre/Roma/MANCINI-G/2296,Roma
CETIN,D,Dc,5,5,//www.fantacalcio.it/squadre/Roma/CETIN/4519,Roma
BOUAH,D,,1,1,//www.fantacalcio.it/squadre/Roma/BOUAH/4481,Roma
KOLAROV,D,,15,15,//www.fantacalcio.it/squadre/Roma/KOLAROV/2214,Roma
GONALONS,C,,4,4,//www.fantacalcio.it/squadre/Roma/GONALONS/2193,Roma
PEROTTI,C,W,14,14,//www.fantacalcio.it/squadre/Roma/PEROTTI/237,Roma
ZANIOLO,C,T,16,16,//www.fantacalcio.it/squadre/Roma/ZANIOLO/2766,Roma
DIAWARA,C,,8,8,//www.fantacalcio.it/squadre/Roma/DIAWARA/58,Roma
PELLEGRINI LO,C,,13,13,//www.fantacalcio.it/squadre/Roma/PELLEGRINI-LO/530,Roma
VERETOUT,C,C,14,14,//www.fantacalcio.it/squadre/Roma/VERETOUT/2215,Roma
CRISTANTE,C,C,10,10,//www.fantacalcio.it/squadre/Roma/CRISTANTE/779,Roma
PASTORE,C,T,11,11,//www.fantacalcio.it/squadre/Roma/PASTORE/2378,Roma
UNDER,C,,18,18,//www.fantacalcio.it/squadre/Roma/UNDER/2201,Roma
CORIC,C,T,4,4,//www.fantacalcio.it/squadre/Roma/CORIC/2780,Roma
KLUIVERT,C,W,16,16,//www.fantacalcio.it/squadre/Roma/KLUIVERT/2779,Roma
RICCARDI,C,,1,1,//www.fantacalcio.it/squadre/Roma/RICCARDI/2852,Roma
SCHICK,A,Pc,12,12,//www.fantacalcio.it/squadre/Roma/SCHICK/1974,Roma
DZEKO,A,Pc,30,30,//www.fantacalcio.it/squadre/Roma/DZEKO/647,Roma
DEFREL,A,A,14,14,//www.fantacalcio.it/squadre/Roma/DEFREL/643,Roma
ANTONUCCI,A,A,2,2,//www.fantacalcio.it/squadre/Roma/ANTONUCCI/2657,Roma
AUDERO,P,Por,11,11,//www.fantacalcio.it/squadre/Sampdoria/AUDERO/761,Sampdoria
AVOGADRI,P,Por,1,1,//www.fantacalcio.it/squadre/Sampdoria/AVOGADRI/4523,Sampdoria
FALCONE,P,Por,1,1,//www.fantacalcio.it/squadre/Sampdoria/FALCONE/2134,Sampdoria
CHABOT,D,Dc,4,4,//www.fantacalcio.it/squadre/Sampdoria/CHABOT/4403,Sampdoria
MURILLO,D,Dc,9,9,//www.fantacalcio.it/squadre/Sampdoria/MURILLO/259,Sampdoria
BERESZYNSKI,D,,6,6,//www.fantacalcio.it/squadre/Sampdoria/BERESZYNSKI/2104,Sampdoria
FERRARI A,D,,4,4,//www.fantacalcio.it/squadre/Sampdoria/FERRARI-A/45,Sampdoria
SALA,D,,4,4,//www.fantacalcio.it/squadre/Sampdoria/SALA/630,Sampdoria
AUGELLO,D,,4,4,//www.fantacalcio.it/squadre/Sampdoria/AUGELLO/4421,Sampdoria
DEPAOLI,D,,6,6,//www.fantacalcio.it/squadre/Sampdoria/DEPAOLI/2141,Sampdoria
REGINI,D,,2,2,//www.fantacalcio.it/squadre/Sampdoria/REGINI/490,Sampdoria
COLLEY,D,Dc,7,7,//www.fantacalcio.it/squadre/Sampdoria/COLLEY/2784,Sampdoria
MURRU,D,,8,8,//www.fantacalcio.it/squadre/Sampdoria/MURRU/1868,Sampdoria
BARRETO,C,,5,5,//www.fantacalcio.it/squadre/Sampdoria/BARRETO/494,Sampdoria
LINETTY,C,C,11,11,//www.fantacalcio.it/squadre/Sampdoria/LINETTY/2008,Sampdoria
VIEIRA,C,,4,4,//www.fantacalcio.it/squadre/Sampdoria/VIEIRA/2855,Sampdoria
JANKTO,C,C,9,9,//www.fantacalcio.it/squadre/Sampdoria/JANKTO/1987,Sampdoria
THORSBY,C,C,5,5,//www.fantacalcio.it/squadre/Sampdoria/THORSBY/4404,Sampdoria
EKDAL,C,,7,7,//www.fantacalcio.it/squadre/Sampdoria/EKDAL/2391,Sampdoria
RAMIREZ,C,T,10,10,//www.fantacalcio.it/squadre/Sampdoria/RAMIREZ/2287,Sampdoria
LERIS,C,,5,5,//www.fantacalcio.it/squadre/Sampdoria/LERIS/2334,Sampdoria
CAPEZZI,C,,3,3,//www.fantacalcio.it/squadre/Sampdoria/CAPEZZI/173,Sampdoria
MARONI,C,T,7,7,//www.fantacalcio.it/squadre/Sampdoria/MARONI/4405,Sampdoria
GABBIADINI,A,A,13,13,//www.fantacalcio.it/squadre/Sampdoria/GABBIADINI/407,Sampdoria
CAPRARI,A,A,14,14,//www.fantacalcio.it/squadre/Sampdoria/CAPRARI/1958,Sampdoria
BONAZZOLI,A,Pc,4,4,//www.fantacalcio.it/squadre/Sampdoria/BONAZZOLI/505,Sampdoria
BAHLOULI,A,A,1,1,//www.fantacalcio.it/squadre/Sampdoria/BAHLOULI/4508,Sampdoria
QUAGLIARELLA,A,Pc,34,34,//www.fantacalcio.it/squadre/Sampdoria/QUAGLIARELLA/568,Sampdoria
CONSIGLI,P,Por,10,10,//www.fantacalcio.it/squadre/Sassuolo/CONSIGLI/509,Sassuolo
RUSSO A,P,Por,1,1,//www.fantacalcio.it/squadre/Sassuolo/RUSSO-A/4518,Sassuolo
PEGOLO,P,Por,1,1,//www.fantacalcio.it/squadre/Sassuolo/PEGOLO/510,Sassuolo
GRAVILLON,D,,6,6,//www.fantacalcio.it/squadre/Sassuolo/GRAVILLON/2184,Sassuolo
TOLJAN,D,,7,7,//www.fantacalcio.it/squadre/Sassuolo/TOLJAN/4426,Sassuolo
GOLDANIGA,D,Dc,4,4,//www.fantacalcio.it/squadre/Sassuolo/GOLDANIGA/418,Sassuolo
ROGERIO,D,,7,7,//www.fantacalcio.it/squadre/Sassuolo/ROGERIO/2318,Sassuolo
MULDUR,D,,3,3,//www.fantacalcio.it/squadre/Sassuolo/MULDUR/4521,Sassuolo
FERRARI G,D,Dc,9,9,//www.fantacalcio.it/squadre/Sassuolo/FERRARI-G/1895,Sassuolo
PELUSO,D,,3,3,//www.fantacalcio.it/squadre/Sassuolo/PELUSO/521,Sassuolo
MARLON,D,Dc,6,6,//www.fantacalcio.it/squadre/Sassuolo/MARLON/2355,Sassuolo
TRIPALDELLI,D,,2,2,//www.fantacalcio.it/squadre/Sassuolo/TRIPALDELLI/4406,Sassuolo
DUNCAN,C,,10,10,//www.fantacalcio.it/squadre/Sassuolo/DUNCAN/526,Sassuolo
OBIANG,C,,10,10,//www.fantacalcio.it/squadre/Sassuolo/OBIANG/4501,Sassuolo
DJURICIC,C,T,5,5,//www.fantacalcio.it/squadre/Sassuolo/DJURICIC/1995,Sassuolo
MAZZITELLI,C,C,2,2,//www.fantacalcio.it/squadre/Sassuolo/MAZZITELLI/1976,Sassuolo
BOURABIA,C,C,6,6,//www.fantacalcio.it/squadre/Sassuolo/BOURABIA/2825,Sassuolo
MAGNANELLI,C,M,5,5,//www.fantacalcio.it/squadre/Sassuolo/MAGNANELLI/528,Sassuolo
LOCATELLI M,C,,11,11,//www.fantacalcio.it/squadre/Sassuolo/LOCATELLI-M/827,Sassuolo
TRAORE' HJ,C,,11,11,//www.fantacalcio.it/squadre/Sassuolo/TRAORE-HJ/2857,Sassuolo
BOGA,A,,12,12,//www.fantacalcio.it/squadre/Sassuolo/BOGA/2832,Sassuolo
RASPADORI,A,Pc,1,1,//www.fantacalcio.it/squadre/Sassuolo/RASPADORI/4371,Sassuolo
BERARDI,A,A,18,18,//www.fantacalcio.it/squadre/Sassuolo/BERARDI/531,Sassuolo
MATRI,A,Pc,4,4,//www.fantacalcio.it/squadre/Sassuolo/MATRI/380,Sassuolo
CAPUTO,A,Pc,26,26,//www.fantacalcio.it/squadre/Sassuolo/CAPUTO/2819,Sassuolo
BABACAR,A,Pc,14,14,//www.fantacalcio.it/squadre/Sassuolo/BABACAR/183,Sassuolo
BRIGNOLA,A,A,3,3,//www.fantacalcio.it/squadre/Sassuolo/BRIGNOLA/2317,Sassuolo
BERISHA E,P,Por,8,8,//www.fantacalcio.it/squadre/SPAL/BERISHA-E/316,Spal
LETICA,P,Por,1,1,//www.fantacalcio.it/squadre/SPAL/LETICA/4520,Spal
THIAM D,P,Por,1,1,//www.fantacalcio.it/squadre/SPAL/THIAM-D/4485,Spal
FELIPE,D,Dc,6,6,//www.fantacalcio.it/squadre/SPAL/FELIPE/708,Spal
VICARI,D,Dc,7,7,//www.fantacalcio.it/squadre/SPAL/VICARI/2261,Spal
DICKMANN,D,,3,3,//www.fantacalcio.it/squadre/SPAL/DICKMANN/2787,Spal
VAISANEN,D,Dc,1,1,//www.fantacalcio.it/squadre/SPAL/VAISANEN/2212,Spal
CIONEK,D,Dc,7,7,//www.fantacalcio.it/squadre/SPAL/CIONEK/780,Spal
SALAMON,D,Dc,3,3,//www.fantacalcio.it/squadre/SPAL/SALAMON/491,Spal
IGOR,D,,7,7,//www.fantacalcio.it/squadre/SPAL/IGOR/4407,Spal
JANKOVIC,C,,3,3,//www.fantacalcio.it/squadre/SPAL/JANKOVIC/4338,Spal
STREFEZZA,C,,1,1,//www.fantacalcio.it/squadre/SPAL/STREFEZZA/4486,Spal
FARES,C,E,7,7,//www.fantacalcio.it/squadre/SPAL/FARES/633,Spal
MURGIA,C,,7,7,//www.fantacalcio.it/squadre/SPAL/MURGIA/2003,Spal
VIVIANI,C,,4,4,//www.fantacalcio.it/squadre/SPAL/VIVIANI/631,Spal
DI FRANCESCO F,C,W,11,11,//www.fantacalcio.it/squadre/SPAL/DI-FRANCESCO-F/1857,Spal
MISSIROLI,C,,6,6,//www.fantacalcio.it/squadre/SPAL/MISSIROLI/529,Spal
VALOTI,C,,6,6,//www.fantacalcio.it/squadre/SPAL/VALOTI/2274,Spal
D'ALESSANDRO,C,E,7,7,//www.fantacalcio.it/squadre/SPAL/DALESSANDRO/21,Spal
KURTIC,C,,16,16,//www.fantacalcio.it/squadre/SPAL/KURTIC/28,Spal
VALDIFIORI,C,C,3,3,//www.fantacalcio.it/squadre/SPAL/VALDIFIORI/405,Spal
FLOCCARI,A,Pc,7,7,//www.fantacalcio.it/squadre/SPAL/FLOCCARI/533,Spal
PETAGNA,A,Pc,25,25,//www.fantacalcio.it/squadre/SPAL/PETAGNA/383,Spal
PALOSCHI,A,Pc,9,9,//www.fantacalcio.it/squadre/SPAL/PALOSCHI/126,Spal
MONCINI,A,Pc,5,5,//www.fantacalcio.it/squadre/SPAL/MONCINI/2853,Spal
ROSATI,P,Por,1,1,//www.fantacalcio.it/squadre/Torino/ROSATI/2790,Torino
ZACCAGNO,P,Por,1,1,//www.fantacalcio.it/squadre/Torino/ZACCAGNO/2270,Torino
SIRIGU,P,Por,14,14,//www.fantacalcio.it/squadre/Torino/SIRIGU/2179,Torino
BONIFAZI,D,Dc,8,8,//www.fantacalcio.it/squadre/Torino/BONIFAZI/2192,Torino
DJIDJI,D,,7,7,//www.fantacalcio.it/squadre/Torino/DJIDJI/2869,Torino
N'KOULOU,D,Dc,15,15,//www.fantacalcio.it/squadre/Torino/NKOULOU/2288,Torino
AINA,D,E,8,8,//www.fantacalcio.it/squadre/Torino/AINA/2865,Torino
DE SILVESTRI,D,,10,10,//www.fantacalcio.it/squadre/Torino/DE-SILVESTRI/487,Torino
LYANCO,D,Dc,8,8,//www.fantacalcio.it/squadre/Torino/LYANCO/2171,Torino
BUONGIORNO,D,Dc,1,1,//www.fantacalcio.it/squadre/Torino/BUONGIORNO/2724,Torino
IZZO,D,,16,16,//www.fantacalcio.it/squadre/Torino/IZZO/226,Torino
BREMER,D,Dc,4,4,//www.fantacalcio.it/squadre/Torino/BREMER/2788,Torino
GILLI,D,,1,1,//www.fantacalcio.it/squadre/Torino/GILLI/4488,Torino
DE ANGELIS,C,,1,1,//www.fantacalcio.it/squadre/Torino/DE-ANGELIS/4490,Torino
PARIGINI,C,W,2,2,//www.fantacalcio.it/squadre/Torino/PARIGINI/1982,Torino
BERENGUER,C,W,8,8,//www.fantacalcio.it/squadre/Torino/BERENGUER/2205,Torino
MEITE',C,,9,9,//www.fantacalcio.it/squadre/Torino/MEITE/2789,Torino
BASELLI,C,,10,10,//www.fantacalcio.it/squadre/Torino/BASELLI/556,Torino
LUKIC,C,C,5,5,//www.fantacalcio.it/squadre/Torino/LUKIC/2009,Torino
ANSALDI,C,E,13,13,//www.fantacalcio.it/squadre/Torino/ANSALDI/706,Torino
GUSTAFSON,C,,3,3,//www.fantacalcio.it/squadre/Torino/GUSTAFSON/2057,Torino
RINCON,C,M,8,8,//www.fantacalcio.it/squadre/Torino/RINCON/238,Torino
IAGO FALQUE,A,A,21,21,//www.fantacalcio.it/squadre/Torino/IAGO-FALQUE/475,Torino
EDERA,A,A,4,4,//www.fantacalcio.it/squadre/Torino/EDERA/1839,Torino
ZAZA,A,Pc,12,12,//www.fantacalcio.it/squadre/Torino/ZAZA/315,Torino
BELOTTI,A,Pc,30,30,//www.fantacalcio.it/squadre/Torino/BELOTTI/441,Torino
RAUTI,A,Pc,1,1,//www.fantacalcio.it/squadre/Torino/RAUTI/4489,Torino
MILLICO,A,A,1,1,//www.fantacalcio.it/squadre/Torino/MILLICO/4346,Torino
MUSSO,P,Por,9,9,//www.fantacalcio.it/squadre/Udinese/MUSSO/2792,Udinese
PERISAN,P,Por,1,1,//www.fantacalcio.it/squadre/Udinese/PERISAN/673,Udinese
NICOLAS,P,Por,1,1,//www.fantacalcio.it/squadre/Udinese/NICOLAS/2271,Udinese
NUYTINCK,D,Dc,4,4,//www.fantacalcio.it/squadre/Udinese/NUYTINCK/2280,Udinese
SAMIR,D,,7,7,//www.fantacalcio.it/squadre/Udinese/SAMIR/790,Udinese
TROOST-EKONG,D,Dc,5,5,//www.fantacalcio.it/squadre/Udinese/TROOST-EKONG/2870,Udinese
DE MAIO,D,Dc,6,6,//www.fantacalcio.it/squadre/Udinese/DE-MAIO/224,Udinese
RODRIGO BECAO,D,Dc,7,7,//www.fantacalcio.it/squadre/Udinese/RODRIGO-BECAO/4412,Udinese
TER AVEST,D,,4,4,//www.fantacalcio.it/squadre/Udinese/TER-AVEST/2795,Udinese
PEZZELLA GIU,D,,5,5,//www.fantacalcio.it/squadre/Udinese/PEZZELLA-GIU/770,Udinese
STRYGER LARSEN,D,,7,7,//www.fantacalcio.it/squadre/Udinese/STRYGER-LARSEN/2315,Udinese
OPOKU,D,Dc,2,2,//www.fantacalcio.it/squadre/Udinese/OPOKU/2793,Udinese
SIERRALTA,D,,2,2,//www.fantacalcio.it/squadre/Udinese/SIERRALTA/4302,Udinese
DE PAUL,C,,22,22,//www.fantacalcio.it/squadre/Udinese/DE-PAUL/1996,Udinese
MANDRAGORA,C,,8,8,//www.fantacalcio.it/squadre/Udinese/MANDRAGORA/1933,Udinese
WALACE,C,M,7,7,//www.fantacalcio.it/squadre/Udinese/WALACE/2392,Udinese
COULIBALY,C,C,1,1,//www.fantacalcio.it/squadre/Udinese/COULIBALY/2144,Udinese
JAJALO,C,,4,4,//www.fantacalcio.it/squadre/Udinese/JAJALO/434,Udinese
BARAK,C,T,11,11,//www.fantacalcio.it/squadre/Udinese/BARAK/2172,Udinese
INGELSSON,C,,1,1,//www.fantacalcio.it/squadre/Udinese/INGELSSON/2191,Udinese
BALIC,C,,5,5,//www.fantacalcio.it/squadre/Udinese/BALIC/813,Udinese
FOFANA,C,,11,11,//www.fantacalcio.it/squadre/Udinese/FOFANA/1986,Udinese
SEMA,C,E,5,5,//www.fantacalcio.it/squadre/Udinese/SEMA/4524,Udinese
NESTOROVSKI,A,Pc,10,10,//www.fantacalcio.it/squadre/Udinese/NESTOROVSKI/1943,Udinese
MICIN,A,A,1,1,//www.fantacalcio.it/squadre/Udinese/MICIN/2794,Udinese
TEODORCZYK,A,Pc,8,8,//www.fantacalcio.it/squadre/Udinese/TEODORCZYK/2873,Udinese
MATOS,A,,3,3,//www.fantacalcio.it/squadre/Udinese/MATOS/92,Udinese
