Season,Grade_Type,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au
2018-19,Statistico,D,JUNIOR TAVARES,Sampdoria,3,5.83,5.67,0,0,0,0,0,0,0,0,1,0,0
2018-19,Statistico,P,DINI,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,FRATTALI,Parma,1,6.5,4.5,0,2,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,DI CESARE,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,IACOPONI,Parma,38,5.63,5.58,0,0,0,0,0,0,0,0,4,0,0
2018-19,Statistico,C,BARILLA',Parma,31,5.76,5.95,3,0,0,0,0,0,2,0,10,0,0
2018-19,Statistico,C,SCAVONE,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,SCOZZARELLA,Parma,19,5.79,5.74,0,0,0,0,0,0,1,2,8,0,0
2018-19,Statistico,A,BARAYE,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,CALAIO',Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,DA CRUZ,Parma,3,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,FREDIANI,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,BRIGHENTI,Frosinone,11,5.68,5.5,0,0,0,0,0,0,0,0,4,0,0
2018-19,Statistico,C,KONE',Frosinone,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,CIANO,Frosinone,32,5.91,6.41,5,0,0,3,2,1,1,3,12,0,0
2018-19,Statistico,P,PROVEDEL,Empoli,16,5.88,3.62,0,36,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,TERRACCIANO,Fiorentina,10,6.25,4.95,0,13,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,DI LORENZO,Empoli,37,5.97,6.35,5,0,0,0,0,0,3,0,8,0,0
2018-19,Statistico,D,UNTERSEE,Empoli,3,5.83,5.83,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,BENNACER,Empoli,35,6.06,6.01,0,0,0,0,0,0,1,1,7,0,0
2018-19,Statistico,A,CAPUTO,Empoli,38,6.07,7.13,13,0,0,6,3,3,3,0,3,0,0
2018-19,Statistico,C,BOURABIA,Sassuolo,31,5.79,5.74,1,0,0,0,0,0,0,0,7,1,0
2018-19,Statistico,A,PUSSETTO,Udinese,32,5.95,6.3,4,0,0,0,0,0,3,0,8,0,0
2018-19,Statistico,A,MACHIS,Udinese,10,5.85,5.9,0,0,0,0,0,0,1,0,2,0,0
2018-19,Statistico,C,COLOMBATTO,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,VALJENT,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,NORGAARD,Fiorentina,5,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,DJOUROU,SPAL,5,5.7,5.7,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,BOGA,Sassuolo,25,6.08,6.48,3,0,0,0,0,0,1,0,0,0,0
2018-19,Statistico,C,KULUSEVSKI,Atalanta,3,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,BRIGNANI,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,KINGSLEY,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,OLSEN,Roma,27,5.96,4.37,0,42,0,0,0,0,0,0,2,0,0
2018-19,Statistico,D,IMPERIALE,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,SOTTIL,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,GRAICIAR,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,VLAHOVIC,Fiorentina,4,5.62,5.62,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,ZANIMACCHIA,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,EMMERS,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,COLIDIO,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,CONTINI N,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,BAUMGARTNER,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,SERNICOLA,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,FRATTESI,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,DAMASCAN,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,KATUMA,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,RICCARDI,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,MONCINI,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,BRADARIC,Cagliari,23,5.8,5.65,0,0,0,0,0,0,1,0,5,0,1
2018-19,Statistico,C,VIEIRA,Sampdoria,10,5.9,5.8,0,0,0,0,0,0,0,0,3,0,0
2018-19,Statistico,C,ROLON,Genoa,17,5.62,5.38,0,0,0,0,0,0,0,0,9,0,0
2018-19,Statistico,C,TRAORE' HJ,Empoli,30,5.97,6.17,2,0,0,0,0,0,2,0,4,0,0
2018-19,Statistico,A,GALANO,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,MIRALLAS,Fiorentina,25,5.78,6.02,2,0,0,0,0,0,1,0,2,0,0
2018-19,Statistico,D,MALCUIT,Napoli,23,6.11,6.15,0,0,0,0,0,0,2,0,3,0,0
2018-19,Statistico,P,SEMPER,Chievo,6,6.17,4.83,0,8,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,IACOBUCCI,Frosinone,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,FERNANDES,Fiorentina,28,5.57,5.61,2,0,0,0,0,0,0,0,8,1,0
2018-19,Statistico,D,AINA,Torino,28,5.89,6,1,0,0,0,0,0,2,1,4,1,0
2018-19,Statistico,C,VLOET,Frosinone,4,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,CAMPBELL,Frosinone,15,5.7,5.77,0,0,0,0,0,0,3,0,4,0,0
2018-19,Statistico,A,RIGONI E,Atalanta,9,5.67,6.61,3,0,0,0,0,0,0,0,1,0,0
2018-19,Statistico,D,DJIDJI,Torino,16,5.94,5.88,0,0,0,0,0,0,0,0,2,0,0
2018-19,Statistico,D,TROOST-EKONG,Udinese,35,5.77,5.71,0,0,0,0,0,0,0,0,4,0,0
2018-19,Statistico,D,KLAVAN,Cagliari,15,5.87,5.8,0,0,0,0,0,0,0,0,2,0,0
2018-19,Statistico,A,ARDAIZ,Frosinone,1,6,6,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,TEODORCZYK,Udinese,12,5.71,5.67,1,0,0,1,0,1,0,0,1,0,0
2018-19,Statistico,P,GHIDOTTI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,BAGHERIA,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
