Season,Grade_Type,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au
2017-18,Italia,P,RADUNOVIC,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,SPORTIELLO,Fiorentina,37,6.05,5.08,0,38,1,0,0,0,0,0,0,1,0
2017-18,Italia,D,BRIVIO,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,CHERUBIN,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,CONTI,Milan,2,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,DRAME',SPAL,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,MASIELLO A,Atalanta,31,6.29,6.6,4,0,0,0,0,0,0,0,5,0,0
2017-18,Italia,C,CIGARINI,Cagliari,26,5.87,5.83,2,0,0,1,0,1,0,3,12,1,0
2017-18,Italia,C,D'ALESSANDRO,Benevento,15,6.13,6.37,1,0,0,0,0,0,1,0,1,0,0
2017-18,Italia,C,DE ROON,Atalanta,33,6.02,6.11,2,0,0,2,1,1,2,0,8,1,0
2017-18,Italia,A,GOMEZ A,Atalanta,33,6.29,6.98,4,0,0,3,2,1,7,2,2,0,0
2017-18,Italia,C,GRASSI,SPAL,28,6.07,6.34,3,0,0,0,0,0,0,0,3,0,0
2017-18,Italia,C,KURTIC,SPAL,29,5.72,5.91,3,0,0,0,0,0,0,0,7,0,0
2017-18,Italia,P,DA COSTA,Bologna,4,6.25,5,0,5,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,MIRANTE,Bologna,33,6.15,4.62,0,46,0,0,0,0,0,0,5,0,1
2017-18,Italia,D,FERRARI A,Verona,25,5.5,5.52,1,0,0,0,0,0,0,0,5,0,0
2017-18,Italia,D,GASTALDELLO,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,MAIETTA,Bologna,7,6.07,6,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,MASINA,Bologna,34,5.65,5.53,0,0,0,0,0,0,1,0,8,1,0
2017-18,Italia,D,MBAYE,Bologna,24,5.77,5.71,1,0,0,0,0,0,0,0,3,1,1
2017-18,Italia,D,OIKONOMOU,SPAL,3,5.5,5.17,0,0,0,0,0,0,0,0,0,1,0
2017-18,Italia,D,ROSSETTINI,Genoa,23,5.83,5.67,0,0,0,0,0,0,0,0,7,0,0
2017-18,Italia,C,CRISETIG,Bologna,8,5.88,5.62,0,0,0,0,0,0,0,0,4,0,0
2017-18,Italia,C,DIAWARA,Napoli,15,6.07,6.33,1,0,0,0,0,0,1,0,1,0,0
2017-18,Italia,C,RIZZO,Atalanta,10,5.95,6.55,2,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,ZUCULINI F,Verona,7,6,5.93,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,LETIZIA,Benevento,28,5.7,5.68,1,0,0,0,0,0,0,0,5,1,0
2017-18,Italia,D,ROMAGNOLI S,Bologna,8,5.88,5.81,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,SPOLLI,Genoa,21,6.14,5.98,0,0,0,0,0,0,0,0,7,0,0
2017-18,Italia,A,LASAGNA,Udinese,29,6.12,7.38,12,0,0,0,0,0,1,0,1,0,0
2017-18,Italia,A,MATOS,Verona,17,5.56,5.53,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,P,BIZZARRI,Udinese,32,6.06,4.59,0,52,2,0,0,0,0,0,0,1,0
2017-18,Italia,P,SECULIN,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,CACCIATORE,Chievo,33,5.82,5.98,2,0,0,0,0,0,3,0,5,1,0
2017-18,Italia,D,CESAR,Chievo,9,5.67,5.17,0,0,0,0,0,0,0,0,1,0,2
2017-18,Italia,D,DAINELLI,Chievo,19,6.03,5.92,0,0,0,0,0,0,0,0,4,0,0
2017-18,Italia,D,FREY,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,GAMBERINI,Chievo,23,5.76,5.72,0,0,0,0,0,0,0,0,2,0,0
2017-18,Italia,D,GOBBI,Chievo,24,5.73,5.75,0,0,0,0,0,0,1,1,3,0,0
2017-18,Italia,D,MATTIELLO,SPAL,26,5.83,5.67,0,0,0,0,0,0,0,0,6,1,0
2017-18,Italia,C,BIRSA,Chievo,34,5.94,6.37,3,0,0,0,0,0,2,5,3,0,0
2017-18,Italia,C,CASTRO,Chievo,25,6.06,6.48,3,0,0,0,0,0,3,0,3,0,0
2017-18,Italia,C,HETEMAJ,Chievo,32,5.94,6.08,3,0,0,0,0,0,2,0,9,0,1
2017-18,Italia,C,IZCO,Crotone,3,5.17,5.17,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,RADOVANOVIC,Chievo,35,5.96,5.96,1,0,0,0,0,0,1,0,6,1,0
2017-18,Italia,C,RIGONI N,Chievo,14,5.54,5.46,0,0,0,0,0,0,0,0,3,0,0
2017-18,Italia,C,STOIAN,Crotone,30,5.75,6,2,0,0,0,0,0,4,0,5,0,0
2017-18,Italia,A,INGLESE,Chievo,33,6,6.98,11,0,0,2,1,1,1,0,3,0,0
2017-18,Italia,A,MEGGIORINI,Chievo,14,5.46,5.39,0,0,0,0,0,0,0,0,2,0,0
2017-18,Italia,A,PALOSCHI,SPAL,33,5.7,6.33,7,0,0,0,0,0,1,0,2,0,0
2017-18,Italia,A,PELLISSIER,Chievo,15,5.8,6.03,1,0,0,0,0,0,1,0,1,0,0
2017-18,Italia,P,SKORUPSKI,Roma,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,CAMPORESE,Benevento,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,COSTA,Benevento,16,5.41,5.25,0,0,0,0,0,0,0,0,5,0,0
2017-18,Italia,D,HYSAJ,Napoli,35,5.94,5.91,0,0,0,0,0,0,1,0,2,1,0
2017-18,Italia,D,LAURINI,Fiorentina,21,5.79,5.71,0,0,0,0,0,0,1,0,5,0,0
2017-18,Italia,D,MARIO RUI,Napoli,24,5.92,6.12,2,0,0,0,0,0,2,2,8,1,0
2017-18,Italia,D,TONELLI,Napoli,4,5.62,6.38,1,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,SAPONARA,Fiorentina,16,6.03,6.19,0,0,0,0,0,0,3,1,3,0,0
2017-18,Italia,C,ZIELINSKI,Napoli,36,6.15,6.47,4,0,0,0,0,0,1,0,3,0,0
2017-18,Italia,A,PUCCIARELLI,Chievo,19,5.61,5.84,2,0,0,0,0,0,0,0,3,0,0
2017-18,Italia,P,SEPE,Napoli,1,6,6,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,TOMOVIC,Chievo,29,5.69,5.53,0,0,0,0,0,0,0,0,5,0,1
2017-18,Italia,C,BADELJ,Fiorentina,27,6,6.04,2,0,0,0,0,0,0,0,8,1,0
2017-18,Italia,C,BORJA VALERO,Inter,33,5.83,5.97,2,0,0,0,0,0,0,0,3,0,0
2017-18,Italia,C,CAPEZZI,Sampdoria,3,5.83,6.17,0,0,0,0,0,0,1,0,0,0,0
2017-18,Italia,C,FERNANDEZ M,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,ILICIC,Atalanta,31,6.5,7.77,9,0,0,2,2,0,8,0,3,0,0
2017-18,Italia,C,VECINO,Inter,28,5.89,6.12,3,0,0,0,0,0,2,0,7,1,0
2017-18,Italia,A,ACOSTY,Crotone,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,BABACAR,Sassuolo,28,5.93,6.62,3,0,0,3,3,0,2,0,1,0,0
2017-18,Italia,C,BERNARDESCHI,Juventus,16,6.38,7.38,4,0,0,0,0,0,5,0,4,0,0
2017-18,Italia,A,REBIC,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,ROSSI,Genoa,8,6,6.38,1,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,PAVLOVIC,Crotone,10,5.35,5.35,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,ROSI,Genoa,24,5.67,5.56,0,0,0,0,0,0,0,0,5,0,0
2017-18,Italia,C,CHIBSAH,Benevento,14,5.36,5.21,0,0,0,0,0,0,0,0,4,0,0
2017-18,Italia,A,VERDE,Verona,30,5.67,5.97,2,0,0,0,0,0,3,0,0,0,0
2017-18,Italia,P,DONNARUMMA AN,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,LAMANNA,Genoa,1,6.5,5.5,0,1,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,PERIN,Genoa,37,6.24,5.09,0,42,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,BURDISSO,Torino,24,5.88,5.75,0,0,0,0,0,0,0,0,6,0,0
2017-18,Italia,D,DE MAIO,Bologna,25,5.8,5.82,2,0,0,0,0,0,0,0,7,0,1
2017-18,Italia,D,IZZO,Genoa,16,6,6.12,1,0,0,0,0,0,0,0,2,0,0
2017-18,Italia,D,MUNOZ,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,COFIE,Genoa,10,5.85,5.8,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,C,LAXALT,Genoa,32,5.94,6.25,3,0,0,0,0,0,2,0,2,0,0
2017-18,Italia,C,LAZOVIC,Genoa,19,5.84,5.84,0,0,0,0,0,0,1,0,2,0,0
2017-18,Italia,C,PEROTTI,Roma,23,6.11,6.67,3,0,0,4,2,2,4,0,0,0,0
2017-18,Italia,C,RINCON,Torino,36,5.89,5.81,1,0,0,0,0,0,0,0,12,0,0
2017-18,Italia,A,GAKPE',Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,PANDEV,Genoa,31,5.92,6.34,5,0,0,0,0,0,1,0,4,1,0
2017-18,Italia,A,PAVOLETTI,Cagliari,33,5.97,6.85,11,0,0,0,0,0,0,0,8,0,0
2017-18,Italia,P,BERNI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,HANDANOVIC,Inter,38,6.29,5.45,0,30,0,0,0,0,0,0,0,0,1
2017-18,Italia,D,ANDREOLLI,Cagliari,22,5.68,5.57,0,0,0,0,0,0,0,0,5,0,0
2017-18,Italia,D,BIRAGHI,Fiorentina,34,5.69,5.79,1,0,0,0,0,0,3,1,7,0,0
2017-18,Italia,D,D'AMBROSIO,Inter,34,5.91,6.09,2,0,0,0,0,0,3,0,6,0,0
2017-18,Italia,D,DODO',Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,JUAN JESUS,Roma,20,5.7,5.55,0,0,0,0,0,0,0,0,4,1,0
2017-18,Italia,D,MIRANDA,Inter,31,5.98,5.85,0,0,0,0,0,0,0,0,8,0,0
2017-18,Italia,D,MURILLO,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,NAGATOMO,Inter,11,5.86,5.82,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,RANOCCHIA,Inter,7,6.07,6.36,2,0,0,0,0,0,0,0,4,0,1
2017-18,Italia,D,SANTON,Inter,13,5.58,5.5,0,0,0,0,0,0,0,0,2,0,0
2017-18,Italia,C,BESSA,Genoa,25,5.84,6.18,3,0,0,0,0,0,2,0,5,0,0
2017-18,Italia,C,BROZOVIC,Inter,28,6.2,6.79,4,0,0,0,0,0,5,4,9,0,0
2017-18,Italia,C,GNOUKOURI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,KONDOGBIA,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,MEDEL,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,TAIDER,Bologna,7,6,6.14,0,0,0,0,0,0,1,0,0,0,0
2017-18,Italia,C,BIABIANY,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,ICARDI,Inter,34,6.35,8.82,23,0,0,7,6,1,1,0,2,0,0
2017-18,Italia,A,JOVETIC,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,PALACIO,Bologna,27,6.07,6.43,4,0,0,0,0,0,2,0,9,0,0
2017-18,Italia,A,PUSCAS,Benevento,11,5.41,5.68,1,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,BUFFON,Juventus,21,6.19,5.64,0,14,1,0,0,0,0,0,1,0,0
2017-18,Italia,D,BARZAGLI,Juventus,20,6,5.9,0,0,0,0,0,0,1,0,2,0,1
2017-18,Italia,D,BONUCCI,Milan,35,5.86,5.93,2,0,0,0,0,0,0,0,5,1,0
2017-18,Italia,D,CACERES,Lazio,20,5.95,6.52,4,0,0,0,0,0,1,0,3,0,0
2017-18,Italia,D,CHIELLINI,Juventus,24,6.21,6.21,0,0,0,0,0,0,1,0,2,0,0
2017-18,Italia,D,LICHTSTEINER,Juventus,24,5.79,5.62,0,0,0,1,0,1,2,0,6,0,0
2017-18,Italia,D,RUGANI,Juventus,22,6.09,6.34,2,0,0,0,0,0,1,0,3,0,0
2017-18,Italia,D,ASAMOAH,Juventus,19,6.05,5.95,0,0,0,0,0,0,0,0,4,0,0
2017-18,Italia,C,BUCHEL,Verona,21,5.55,5.33,0,0,0,0,0,0,0,0,9,0,0
2017-18,Italia,C,KHEDIRA,Juventus,26,6.1,7.19,9,0,0,0,0,0,2,0,1,0,0
2017-18,Italia,C,MARCHISIO,Juventus,12,6.04,6.08,0,0,0,0,0,0,1,0,1,0,0
2017-18,Italia,D,PADOIN,Cagliari,37,5.72,5.74,1,0,0,0,0,0,0,0,4,0,0
2017-18,Italia,C,STURARO,Juventus,11,5.86,5.82,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,A,COMAN,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,DYBALA,Juventus,33,6.45,8.42,19,0,0,5,3,2,3,2,0,0,0
2017-18,Italia,A,MANDZUKIC,Juventus,32,5.95,6.41,5,0,0,0,0,0,2,0,3,1,0
2017-18,Italia,P,BERISHA E,Atalanta,31,6.08,5.08,0,34,1,0,0,0,0,0,0,0,0
2017-18,Italia,P,GUERRIERI,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,MARCHETTI,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,BASTA,Lazio,11,5.95,6.05,0,0,0,0,0,0,1,0,0,0,0
2017-18,Italia,D,DE VRIJ,Lazio,36,6.31,6.79,6,0,0,0,0,0,1,0,3,0,0
2017-18,Italia,D,GENTILETTI,Genoa,4,5.12,4.88,0,0,0,0,0,0,0,0,2,0,0
2017-18,Italia,D,HOEDT,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,MAURICIO,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,PATRIC,Lazio,10,5.8,5.85,0,0,0,0,0,0,1,0,1,0,0
2017-18,Italia,D,RADU,Lazio,31,5.94,5.84,0,0,0,0,0,0,2,0,8,1,0
2017-18,Italia,C,BIGLIA,Milan,26,5.88,5.94,1,0,0,0,0,0,1,0,5,0,0
2017-18,Italia,C,CANDREVA,Inter,34,6.03,6.21,0,0,0,0,0,0,7,1,4,0,0
2017-18,Italia,C,CATALDI,Benevento,29,5.72,5.76,1,0,0,0,0,0,2,1,8,1,0
2017-18,Italia,C,CRECCO,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,FELIPE ANDERSON,Lazio,21,6.38,7.24,4,0,0,0,0,0,5,1,0,0,0
2017-18,Italia,A,KISHNA,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,LULIC,Lazio,35,5.97,6.2,2,0,0,1,1,0,5,0,6,1,1
2017-18,Italia,C,PAROLO,Lazio,31,6.03,6.52,4,0,0,0,0,0,5,0,2,1,0
2017-18,Italia,A,DJORDJEVIC,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,KEITA B,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,DONNARUMMA G,Milan,38,6.09,4.91,0,42,0,0,0,0,0,0,2,0,1
2017-18,Italia,P,DIEGO LOPEZ,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,ABATE,Milan,16,5.81,5.91,1,0,0,0,0,0,0,0,3,0,0
2017-18,Italia,D,ALBERTAZZI,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,ANTONELLI,Milan,3,5.33,5.17,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,CALABRIA,Milan,18,6,6.28,1,0,0,0,0,0,3,0,0,1,0
2017-18,Italia,D,DE SCIGLIO,Juventus,12,6.42,6.62,1,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,PALETTA,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,SIMIC S,Crotone,7,5.79,5.64,0,0,0,0,0,0,0,0,2,0,0
2017-18,Italia,D,ZAPATA C,Milan,11,6,5.91,0,0,0,0,0,0,0,0,2,0,0
2017-18,Italia,C,BERTOLACCI,Genoa,33,5.86,5.82,1,0,0,0,0,0,0,0,7,1,0
2017-18,Italia,C,BONAVENTURA,Milan,32,6.03,6.83,8,0,0,0,0,0,3,0,3,0,0
2017-18,Italia,C,MAURI J,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,MONTOLIVO,Milan,16,5.78,5.88,1,0,0,0,0,0,1,0,3,1,0
2017-18,Italia,C,POLI,Bologna,31,5.94,5.97,2,0,0,0,0,0,0,0,8,1,0
2017-18,Italia,C,SUSO,Milan,35,6.19,6.84,6,0,0,0,0,0,7,0,2,1,0
2017-18,Italia,C,VERDI,Bologna,33,6.21,7.36,8,0,0,2,2,0,5,4,2,0,0
2017-18,Italia,A,BACCA,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,CERCI,Verona,23,5.74,6.15,2,0,0,1,1,0,1,0,1,0,0
2017-18,Italia,A,MATRI,Sassuolo,20,5.78,5.9,2,0,0,3,1,2,0,0,1,0,0
2017-18,Italia,A,NIANG,Torino,24,5.71,6.15,4,0,0,0,0,0,1,0,5,0,0
2017-18,Italia,A,PETAGNA,Atalanta,29,5.93,6.34,4,0,0,0,0,0,3,0,6,0,0
2017-18,Italia,P,GABRIEL,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,RAFAEL CABRAL,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,REINA,Napoli,37,6.08,5.28,0,29,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,ALBIOL,Napoli,31,6.21,6.42,3,0,0,0,0,0,1,0,7,0,0
2017-18,Italia,D,GHOULAM,Napoli,11,6.64,7.41,2,0,0,0,0,0,3,0,1,0,0
2017-18,Italia,D,KOULIBALY,Napoli,35,6.24,6.57,5,0,0,0,0,0,0,0,5,1,0
2017-18,Italia,D,MAGGIO,Napoli,10,6.1,6.1,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,STRINIC,Sampdoria,15,5.77,5.83,0,0,0,0,0,0,2,0,2,0,0
2017-18,Italia,C,ALLAN,Napoli,37,6.32,6.73,4,0,0,0,0,0,4,0,2,0,0
2017-18,Italia,C,HAMSIK,Napoli,38,6.01,6.57,7,0,0,0,0,0,1,0,2,0,0
2017-18,Italia,C,JORGINHO,Napoli,32,6.02,6.16,1,0,0,2,1,1,3,1,5,0,0
2017-18,Italia,C,VALDIFIORI,Torino,9,5.61,5.56,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,A,CALLEJON,Napoli,38,6.16,7.2,10,0,0,0,0,0,7,4,3,0,0
2017-18,Italia,A,HIGUAIN,Juventus,33,6.14,7.53,15,0,0,2,1,1,3,0,4,0,0
2017-18,Italia,A,INSIGNE,Napoli,37,6.42,7.28,7,0,0,1,1,0,10,0,4,0,0
2017-18,Italia,A,MERTENS,Napoli,38,6.2,7.64,14,0,0,5,4,1,6,0,4,0,0
2017-18,Italia,P,SORRENTINO,Chievo,38,6.29,4.95,0,59,3,0,0,0,0,0,2,0,0
2017-18,Italia,D,EMERSON,Roma,1,6,6,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,GOLDANIGA,Sassuolo,13,6,5.96,1,0,0,0,0,0,0,0,3,2,0
2017-18,Italia,D,GONZALEZ G,Bologna,22,5.7,5.52,0,0,0,0,0,0,0,0,4,2,0
2017-18,Italia,D,LAZAAR,Benevento,7,5.57,6,1,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,VELAZQUEZ JA,Palermo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,BENALI,Crotone,10,6.1,6.4,1,0,0,0,0,0,1,0,2,0,0
2017-18,Italia,C,HILJEMARK,Genoa,15,5.87,6.03,0,0,0,0,0,0,3,0,1,0,0
2017-18,Italia,C,RIGONI L,Genoa,22,5.8,6.05,2,0,0,0,0,0,2,0,5,0,0
2017-18,Italia,C,VIOLA,Benevento,22,5.98,6.32,2,0,0,1,0,1,2,4,1,1,0
2017-18,Italia,A,BELOTTI,Torino,32,5.98,6.8,10,0,0,2,0,2,3,0,2,0,0
2017-18,Italia,P,LOBONT,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,SZCZESNY,Juventus,17,6.12,5.59,0,9,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,CAPRADOSSI,Roma,2,6,6,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,CASTAN,Cagliari,14,5.57,5.46,0,0,0,0,0,0,1,0,5,0,0
2017-18,Italia,D,MANOLAS,Roma,29,6.02,6.22,2,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,ROMAGNOLI A,Milan,27,6.02,6.07,2,0,0,0,0,0,0,0,7,1,0
2017-18,Italia,D,TOROSIDIS,Bologna,15,5.77,5.63,0,0,0,0,0,0,0,0,2,1,0
2017-18,Italia,C,DE ROSSI,Roma,21,5.95,5.95,1,0,0,0,0,0,1,0,6,1,0
2017-18,Italia,C,FLORENZI,Roma,31,6,6.13,1,0,0,1,0,1,5,0,2,0,0
2017-18,Italia,C,NAINGGOLAN,Roma,31,6.23,6.77,4,0,0,0,0,0,9,0,6,1,0
2017-18,Italia,C,PJANIC,Juventus,31,6.31,6.9,5,0,0,0,0,0,7,1,5,0,1
2017-18,Italia,C,STROOTMAN,Roma,29,5.83,5.86,1,0,0,0,0,0,0,0,4,0,0
2017-18,Italia,A,DESTRO,Bologna,25,5.8,6.54,6,0,0,0,0,0,2,0,3,0,0
2017-18,Italia,A,IAGO FALQUE,Torino,36,6.21,7.38,12,0,0,0,0,0,6,1,2,0,0
2017-18,Italia,A,ITURBE,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,LJAJIC,Torino,27,6.39,7.35,6,0,0,0,0,0,4,5,2,0,0
2017-18,Italia,P,BRIGNOLI,Benevento,13,5.92,3.65,1,31,0,0,0,0,0,0,3,0,0
2017-18,Italia,P,PUGGIONI,Benevento,23,6.07,4.37,0,38,0,0,0,0,0,0,0,1,0
2017-18,Italia,P,VIVIANO,Sampdoria,27,6.11,4.85,0,43,4,0,0,0,0,0,2,0,1
2017-18,Italia,D,DE SILVESTRI,Torino,35,6.03,6.44,5,0,0,0,0,0,2,0,3,1,0
2017-18,Italia,D,REGINI,Sampdoria,14,5.82,5.75,0,0,0,0,0,0,0,0,2,0,0
2017-18,Italia,D,SALAMON,SPAL,20,5.78,5.55,0,0,0,0,0,0,0,0,5,0,1
2017-18,Italia,D,SILVESTRE,Sampdoria,34,5.94,5.93,1,0,0,0,0,0,0,0,3,0,1
2017-18,Italia,D,ZUKANOVIC,Genoa,31,5.94,5.76,0,0,0,0,0,0,1,0,5,0,2
2017-18,Italia,C,BARRETO,Sampdoria,26,5.63,5.63,1,0,0,0,0,0,0,0,4,1,0
2017-18,Italia,A,BONAZZOLI,SPAL,5,5.7,5.7,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,EDER,Inter,18,5.97,6.42,3,0,0,0,0,0,0,0,4,0,0
2017-18,Italia,P,CONSIGLI,Sassuolo,37,6.2,4.69,0,58,1,0,0,0,0,0,2,0,0
2017-18,Italia,P,PEGOLO,Sassuolo,2,5.5,4,0,1,0,0,0,0,0,0,0,0,1
2017-18,Italia,P,POMINI,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,ACERBI,Sassuolo,38,5.96,5.86,0,0,0,0,0,0,0,0,4,0,1
2017-18,Italia,D,ANTEI,Benevento,8,5.44,5.25,0,0,0,0,0,0,0,0,1,1,0
2017-18,Italia,D,CANNAVARO,Sassuolo,16,5.62,5.53,0,0,0,0,0,0,0,0,3,0,0
2017-18,Italia,D,DELL'ORCO,Sassuolo,7,6.07,6.07,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,GAZZOLA,Sassuolo,9,5.67,5.61,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,PELUSO,Sassuolo,31,5.74,5.71,1,0,0,0,0,0,1,0,10,0,0
2017-18,Italia,C,BIONDINI,Sassuolo,5,5.6,5.6,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,C,DUNCAN,Sassuolo,26,5.75,5.71,0,0,0,0,0,0,1,0,4,0,0
2017-18,Italia,C,MAGNANELLI,Sassuolo,30,5.82,5.6,0,0,0,0,0,0,0,0,9,2,0
2017-18,Italia,C,MISSIROLI,Sassuolo,35,5.87,5.93,1,0,0,0,0,0,1,0,4,0,0
2017-18,Italia,C,PELLEGRINI LO,Roma,26,6.04,6.38,3,0,0,0,0,0,1,1,2,1,0
2017-18,Italia,A,BERARDI,Sassuolo,31,5.58,5.66,2,0,0,4,2,2,0,1,7,1,0
2017-18,Italia,A,FALCINELLI,Fiorentina,29,5.57,5.78,2,0,0,0,0,0,1,0,2,0,0
2017-18,Italia,A,FLOCCARI,SPAL,16,5.94,6.5,3,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,A,POLITANO,Sassuolo,36,6.11,6.88,10,0,0,2,0,2,4,0,1,0,0
2017-18,Italia,P,GOMIS A,SPAL,25,6.16,4.56,0,43,1,0,0,0,0,0,0,0,0
2017-18,Italia,P,ICHAZO,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,P,PADELLI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,AVELAR,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,BRUNO PERES,Roma,15,5.8,5.77,0,0,0,0,0,0,0,0,1,0,0
2017-18,Italia,D,MAKSIMOVIC,Napoli,1,6,6,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,D,MOLINARO,Torino,20,5.78,5.78,0,0,0,0,0,0,1,0,2,0,0
2017-18,Italia,D,MORETTI,Torino,22,5.93,5.8,0,0,0,0,0,0,0,0,6,0,0
2017-18,Italia,D,ZAPPACOSTA,Torino,1,6,6,0,0,0,0,0,0,0,0,0,0,0
2017-18,Italia,C,ACQUAH,Torino,15,5.7,5.73,1,0,0,0,0,0,0,0,3,1,0
